PRINC_IMP,PRINC_desc
2,"Meat and edible offal, incl poultry, fresh, chilled or frozen"
4,"Dairy produce, eggs and honey"
7,Edible vegetables
0901-02,Coffee and tea
1006,Rice
1101,Wheat flour 
1501-18,Animal or vegetable fats & oils
16,"Edible preparation of meat, fish, crustaceans etc"
1701-03,Cane or beet sugar
1902,Pasta/noodles and couscous
1905,Biscuits
2103,Sauces
2201-02,Mineral and aerated waters including sweetened or flavoured
2203,Beer made from malt
2204-08,"Spirit beverage, incl wine"
2401-03,"Cigars, cigarettes and tobacco"
2504-30,"Earths and stone; plastering materials, lime and cement"
27,Mineral fuels and oils and related products
30,Pharmaceutical products
3208-10,Paints and varnishes
3917,"Tubes, pipes and hoses, and fittings therefor, of plastics"
44,Wood and articles of wood
5208-12,Woven fabrics of cotton
61-62,Articles of apparel and clothing accessories
63,Other made-up textile articles and worn clothing
68,"Articles of stone, plaster, cement and similar materials"
69,Ceramic products
70,Glass and glass ware
84,"Boilers, Machinery and mechanical appliance and parts thereof"
85,"Electical machinery and equipment, television image and sound recorders and parts thereof"
87,"Motor vehicles incl motorcycles, bicycles and tractors"
9015,Survey instruments etc 
94,"Furniture, bedding, refabricated buildings etc"
